ts_code,stk_code,conv_price,maturity_date,list_date,bond_short_name,par
113678.SH,603220.SH,20.54,20291019,20231121,中贝转债,100.0
123229.SZ,301062.SZ,10.01,20291023,20231120,艾录转债,100.0
127096.SZ,003036.SZ,13.27,20291025,20231115,泰坦转债,100.0
113679.SH,603105.SH,12.75,20291026,20231124,芯能转债,100.0
123230.SZ,301133.SZ,24.31,20291109,20231201,金钟转债,100.0
113680.SH,603937.SH,12.91,20291115,20231205,丽岛转债,100.0
127098.SZ,001269.SZ,42.0,20291124,20231215,欧晶转债,100.0
123233.SZ,301069.SZ,19.96,20291129,20231215,凯盛转债,100.0
127099.SZ,001205.SZ,15.48,20291206,20231228,盛航转债,100.0
123234.SZ,300062.SZ,5.5,20291211,20231229,中能转债,100.0
123235.SZ,300911.SZ,21.31,20291221,20240112,亿田转债,100.0
113069.SH,601137.SH,14.68,20281222,20240118,博23转债,100.0
123236.SZ,301193.SZ,15.33,20291222,20240118,家联转债,100.0
111018.SH,605077.SH,16.26,20291225,20240115,华康转债,100.0
127102.SZ,002761.SZ,10.22,20291225,20240116,浙建转债,100.0
113681.SH,603213.SH,11.2,20291229,20240117,镇洋转债,100.0
127103.SZ,002135.SZ,5.6,20300103,20240124,东南转债,100.0
123237.SZ,300793.SZ,13.46,20300104,20240124,佳禾转债,100.0
123239.SZ,300488.SZ,24.19,20300119,20240222,锋工转债,100.0
127104.SZ,002605.SZ,20.06,20300125,20240226,姚记转债,100.0
123240.SZ,300358.SZ,8.0,20300131,20240229,楚天转债,100.0
127105.SZ,002442.SZ,5.8,20300201,20240306,龙星转债,100.0
113682.SH,603939.SH,31.84,20300304,20240327,益丰转债,100.0
113683.SH,603568.SH,17.55,20300328,20240422,伟24转债,100.0
111019.SH,605366.SH,5.46,20300417,20240514,宏柏转债,100.0
113686.SH,603289.SH,8.15,20300702,20240724,泰瑞转债,100.0
118048.SH,688135.SH,16.12,20300702,20240719,利扬转债,100.0
123241.SZ,300870.SZ,43.35,20300705,20240726,欧通转债,100.0
123242.SZ,301131.SZ,36.2,20300708,20240729,赛龙转债,100.0
123243.SZ,301081.SZ,7.27,20300710,20240726,严牌转债,100.0
113687.SH,603067.SH,8.2,20300712,20240802,振华转债,100.0
111020.SH,605166.SH,10.59,20300722,20240815,合顺转债,100.0
111021.SH,605116.SH,24.94,20300726,20240815,奥锐转债,100.0
118049.SH,688403.SH,7.61,20300807,20240902,汇成转债,100.0
110096.SH,600531.SH,5.95,20300812,20240903,豫光转债,100.0
123245.SZ,300553.SZ,18.11,20300814,20240828,集智转债,100.0
123247.SZ,301216.SZ,11.3,20300816,20240905,万凯转债,100.0
123246.SZ,301053.SZ,22.95,20300816,20240903,远信转债,100.0
118050.SH,688239.SH,24.96,20300821,20240910,航宇转债,100.0
113688.SH,603060.SH,6.52,20301017,20241112,国检转债,100.0
110097.SH,600419.SH,8.21,20301024,20241115,天润转债,100.0
123249.SZ,300681.SZ,17.34,20301024,20241111,英搏转债,100.0
113691.SH,603077.SH,2.0,20301028,20241119,和邦转债,100.0
113692.SH,603197.SH,39.38,20301031,20241127,保隆转债,100.0
123250.SZ,301004.SZ,79.66,20301107,20241126,嘉益转债,100.0
118051.SH,688131.SH,40.47,20301128,20241219,皓元转债,100.0
123251.SZ,301235.SZ,22.43,20301223,20250109,华医转债,100.0
110098.SH,600713.SH,5.12,20301225,20250120,南药转债,100.0
123252.SZ,300337.SZ,12.51,20310107,20250124,银邦转债,100.0
113070.SH,601158.SH,4.82,20310109,20250213,渝水转债,100.0
118052.SH,688292.SH,24.26,20310313,20250407,浩瀚转债,100.0
123253.SZ,300351.SZ,18.23,20310313,20250328,永贵转债,100.0
113693.SH,603801.SH,11.52,20310318,20250408,志邦转债,100.0
118053.SH,688596.SH,38.45,20310318,20250403,正帆转债,100.0
123254.SZ,300014.SZ,50.28,20310324,20250411,亿纬转债,100.0
127108.SZ,000591.SZ,5.55,20310328,20250416,太能转债,100.0
123255.SZ,300054.SZ,28.58,20310402,20250423,鼎龙转债,100.0
118054.SH,688019.SH,128.7,20310407,20250425,安集转债,100.0
113694.SH,603628.SH,12.86,20310408,20250425,清源转债,100.0
118055.SH,688372.SH,62.65,20310409,20250430,伟测转债,100.0
110817.SH,600048.SH,15.92,20310515,20250619,保利定转,100.0
123256.SZ,300969.SZ,62.55,20310529,20250617,恒帅转债,100.0
118056.SH,688401.SH,32.7,20310611,20250710,路维转债,100.0
127109.SZ,002125.SZ,10.1,20310616,20250704,电化转债,100.0
123257.SZ,300866.SZ,110.58,20310616,20250704,安克转债,100.0
111022.SH,605319.SH,22.64,20310618,20250714,锡振转债,100.0
113695.SH,603097.SH,23.48,20310620,20250710,华辰转债,100.0
